Ano,local,faixa_etaria,ambos,feminino,masculino
2000,Brasil,0,0.028834,0.024971,0.032572
2000,Brasil,1-4,0.00115,0.001049,0.001249
2000,Brasil,5-9,0.000376,0.00031,0.000443
2000,Brasil,10-14,0.000436,0.000337,0.000535
2000,Brasil,15-19,0.001266,0.00059,0.001947
2000,Brasil,20-24,0.001867,0.000738,0.003018
2000,Brasil,25-29,0.002075,0.000934,0.003251
2000,Brasil,30-34,0.002466,0.001279,0.003705
2000,Brasil,35-39,0.003103,0.001805,0.004472
2000,Brasil,40-44,0.004184,0.002695,0.005755
2000,Brasil,45-49,0.005814,0.003986,0.007746
2000,Brasil,50-54,0.008231,0.005913,0.010681
2000,Brasil,55-59,0.011783,0.008747,0.015037
2000,Brasil,60-64,0.017283,0.013335,0.021653
2000,Brasil,65-69,0.025197,0.019729,0.031569
2000,Brasil,70-74,0.03439,0.026875,0.043656
2000,Brasil,75-79,0.05372,0.044914,0.065214
2000,Brasil,80-84,0.086478,0.077224,0.099897
2000,Brasil,85-89,0.133317,0.125559,0.14522
2000,Brasil,90+,0.192836,0.188212,0.200163
2001,Brasil,0,0.026818,0.023438,0.030075
2001,Brasil,1-4,0.001059,0.000971,0.001144
2001,Brasil,5-9,0.000368,0.000306,0.000429
2001,Brasil,10-14,0.000427,0.000334,0.00052
2001,Brasil,15-19,0.001273,0.000571,0.001979
2001,Brasil,20-24,0.001865,0.000711,0.003042
2001,Brasil,25-29,0.002048,0.000905,0.003226
2001,Brasil,30-34,0.002405,0.001225,0.003637
2001,Brasil,35-39,0.003021,0.001745,0.00437
2001,Brasil,40-44,0.004063,0.002592,0.00562
2001,Brasil,45-49,0.005694,0.003896,0.007601
2001,Brasil,50-54,0.008052,0.005765,0.010481
2001,Brasil,55-59,0.011462,0.008471,0.014675
2001,Brasil,60-64,0.016904,0.012996,0.021232
2001,Brasil,65-69,0.024659,0.019271,0.030938
2001,Brasil,70-74,0.033749,0.026278,0.043001
2001,Brasil,75-79,0.053327,0.044475,0.065021
2001,Brasil,80-84,0.083957,0.074847,0.097074
2001,Brasil,85-89,0.132975,0.125022,0.145368
2001,Brasil,90+,0.193984,0.189015,0.201909
2002,Brasil,0,0.025398,0.022027,0.028632
2002,Brasil,1-4,0.001003,0.000926,0.001079
2002,Brasil,5-9,0.000361,0.000304,0.000417
2002,Brasil,10-14,0.000417,0.000322,0.000511
2002,Brasil,15-19,0.001269,0.000564,0.001977
2002,Brasil,20-24,0.001847,0.000686,0.003032
2002,Brasil,25-29,0.002027,0.000883,0.003206
2002,Brasil,30-34,0.002349,0.001183,0.003565
2002,Brasil,35-39,0.002939,0.001684,0.004267
2002,Brasil,40-44,0.003941,0.002497,0.005473
2002,Brasil,45-49,0.005579,0.003802,0.007469
2002,Brasil,50-54,0.007828,0.005559,0.010247
2002,Brasil,55-59,0.01122,0.008288,0.014374
2002,Brasil,60-64,0.016556,0.012612,0.020924
2002,Brasil,65-69,0.024175,0.018854,0.03037
2002,Brasil,70-74,0.033286,0.025803,0.042589
2002,Brasil,75-79,0.053072,0.044141,0.064972
2002,Brasil,80-84,0.08263,0.073351,0.095974
2002,Brasil,85-89,0.13305,0.124619,0.146387
2002,Brasil,90+,0.195705,0.190034,0.204835
2003,Brasil,0,0.02438,0.021474,0.027158
2003,Brasil,1-4,0.000938,0.000867,0.001007
2003,Brasil,5-9,0.000353,0.000298,0.000407
2003,Brasil,10-14,0.000405,0.000315,0.000494
2003,Brasil,15-19,0.001254,0.000553,0.001959
2003,Brasil,20-24,0.001833,0.000674,0.003015
2003,Brasil,25-29,0.001976,0.000852,0.003134
2003,Brasil,30-34,0.002271,0.001139,0.003452
2003,Brasil,35-39,0.00287,0.001635,0.004177
2003,Brasil,40-44,0.003848,0.002414,0.005375
2003,Brasil,45-49,0.005455,0.003708,0.007317
2003,Brasil,50-54,0.007667,0.00541,0.010084
2003,Brasil,55-59,0.010969,0.008048,0.014121
2003,Brasil,60-64,0.016295,0.012361,0.020656
2003,Brasil,65-69,0.02383,0.018619,0.029891
2003,Brasil,70-74,0.032893,0.025473,0.042148
2003,Brasil,75-79,0.05281,0.043946,0.064698
2003,Brasil,80-84,0.081977,0.072579,0.095526
2003,Brasil,85-89,0.132905,0.124197,0.146867
2003,Brasil,90+,0.196814,0.190524,0.207076
2004,Brasil,0,0.02253,0.020014,0.024929
2004,Brasil,1-4,0.00088,0.00082,0.000938
2004,Brasil,5-9,0.000335,0.000285,0.000385
2004,Brasil,10-14,0.00039,0.0003,0.00048
2004,Brasil,15-19,0.001229,0.00054,0.00192
2004,Brasil,20-24,0.00176,0.000648,0.002893
2004,Brasil,25-29,0.001899,0.000825,0.003007
2004,Brasil,30-34,0.002183,0.001099,0.003313
2004,Brasil,35-39,0.002771,0.001575,0.004037
2004,Brasil,40-44,0.003723,0.002334,0.005206
2004,Brasil,45-49,0.0053,0.003578,0.007141
2004,Brasil,50-54,0.007465,0.005221,0.009879
2004,Brasil,55-59,0.010628,0.007746,0.013746
