Ano,ex,Local
2000,71.102185,Brasil
2001,71.502797,Brasil
2002,71.824406,Brasil
2003,72.103568,Brasil
2004,72.587444,Brasil
2005,73.015395,Brasil
2006,73.491355,Brasil
2007,73.733527,Brasil
2008,73.961747,Brasil
2009,74.14095,Brasil
2010,74.360426,Brasil
2011,74.536706,Brasil
2012,74.756539,Brasil
2013,74.99919,Brasil
2014,75.198175,Brasil
2015,75.348718,Brasil
2016,75.553176,Brasil
2017,75.72284,Brasil
2018,75.990227,Brasil
2019,76.221101,Brasil
2020,74.809005,Brasil
2021,72.784302,Brasil
2022,75.448044,Brasil
2023,76.388455,Brasil
2000,70.01648,Norte
2001,70.259598,Norte
2002,70.611158,Norte
2003,71.019932,Norte
2004,71.470942,Norte
2005,72.102955,Norte
2006,72.661565,Norte
2007,73.05604,Norte
2008,73.266514,Norte
2009,73.37476,Norte
2010,73.88658,Norte
2011,74.080612,Norte
2012,74.365163,Norte
2013,74.602009,Norte
2014,74.848836,Norte
2015,74.958492,Norte
2016,75.106332,Norte
2017,75.219915,Norte
2018,75.331306,Norte
2019,75.626273,Norte
2020,73.040583,Norte
2021,71.695815,Norte
2022,74.968368,Norte
2023,75.674147,Norte
2000,69.994744,Nordeste
2001,70.249125,Nordeste
2002,70.620916,Nordeste
2003,71.05731,Nordeste
2004,71.865308,Nordeste
2005,72.448141,Nordeste
2006,73.168076,Nordeste
2007,73.490215,Nordeste
2008,73.794121,Nordeste
2009,74.048078,Nordeste
2010,74.170927,Nordeste
2011,74.35505,Nordeste
2012,74.478434,Nordeste
2013,74.644995,Nordeste
2014,74.757077,Nordeste
2015,74.857149,Nordeste
2016,74.923343,Nordeste
2017,75.140535,Nordeste
2018,75.452201,Nordeste
2019,75.840696,Nordeste
2020,74.066468,Nordeste
2021,73.22781,Nordeste
2022,74.919391,Nordeste
2023,75.915952,Nordeste
2000,71.590251,Sudeste
2001,72.150052,Sudeste
2002,72.458946,Sudeste
2003,72.695682,Sudeste
2004,73.077079,Sudeste
2005,73.411526,Sudeste
2006,73.776929,Sudeste
2007,73.982303,Sudeste
2008,74.232165,Sudeste
2009,74.394095,Sudeste
2010,74.628769,Sudeste
2011,74.802783,Sudeste
2012,75.067527,Sudeste
2013,75.337686,Sudeste
2014,75.547141,Sudeste
2015,75.708124,Sudeste
2016,75.948442,Sudeste
2017,76.091068,Sudeste
2018,76.32473,Sudeste
2019,76.421147,Sudeste
2020,75.143523,Sudeste
2021,72.895313,Sudeste
2022,75.831298,Sudeste
2023,76.64896,Sudeste
2000,72.710038,Sul
2001,73.039426,Sul
2002,73.220506,Sul
2003,73.35147,Sul
2004,73.548844,Sul
2005,73.856935,Sul
2006,74.106017,Sul
2007,74.230499,Sul
