Ano,UF,idade,Mulheres,Homens,Total
1994,ac,Menos de 1 ano,-3.3756256699060327,-3.1491656526083642,-3.2547537302956044
1994,ac,1 a 4 anos,-6.409823882945074,-6.636339386573383,-6.51784745911921
1994,ac,5 a 9 anos,-7.499662829735868,-7.1535175630345975,-7.309846700955966
1994,ac,10 a 14 anos,-7.563487095401273,-6.989476963358343,-7.2329663227831364
1994,ac,15 a 19 anos,-6.697758845702202,-6.285623467621108,-6.472329956820516
1994,ac,20 a 24 anos,-6.9970072389651365,-5.963375798254257,-6.353155358651525
1994,ac,25 a 29 anos,-6.530437765442312,-5.4203155213277725,-5.8348207088105415
1994,ac,30 a 34 anos,-6.560279290928313,-5.711540746251777,-6.0487432246979935
1994,ac,35 a 39 anos,-6.1639497977229745,-5.415582638935239,-5.721207270192743
1994,ac,40 a 44 anos,-5.878958988523706,-4.986262360273619,-5.323772563580806
1994,ac,45 a 49 anos,-5.371513458483031,-4.9572324515368855,-5.134571204317382
1994,ac,50 a 54 anos,-5.1119679227237445,-4.5251360527889215,-4.763441981212247
1994,ac,55 a 59 anos,-4.705228727728202,-4.301271839995439,-4.47417081090715
1994,ac,60 a 64 anos,-4.622962870614526,-3.865027578787908,-4.151180698001928
1994,ac,65 a 69 anos,-3.8177451925390127,-3.5027692193670203,-3.6303022023067264
1994,ac,70 a 74 anos,-3.787238033111494,-3.247422332711471,-3.4543017526398647
1994,ac,75 a 79 anos,-2.9429842291412327,-2.9039732942319,-2.922596221409813
1994,ac,80 anos ou mais,-2.1040327372423846,-2.0229801151454563,-2.0641365842174597
1995,ac,Menos de 1 ano,-3.7170741131418255,-3.3356447012146644,-3.5022437921014165
1995,ac,1 a 4 anos,-6.388762834415726,-6.304134825499708,-6.345115606880889
1995,ac,5 a 9 anos,-7.460737358392084,-7.166934289797992,-7.301644862340747
1995,ac,10 a 14 anos,-7.711119981023098,-7.32765749273371,-7.499042443012831
1995,ac,15 a 19 anos,-7.096972568772648,-6.107053148718684,-6.4875665168208485
1995,ac,20 a 24 anos,-6.9919572230641815,-5.9214404420677775,-6.320835081270207
1995,ac,25 a 29 anos,-6.831837003120309,-5.555081830041806,-6.008983072099492
1995,ac,30 a 34 anos,-6.60280225707207,-5.859609928596694,-6.164334273823699
1995,ac,35 a 39 anos,-6.629332890315612,-5.269573221285281,-5.735223705826111
1995,ac,40 a 44 anos,-5.964759454339368,-5.148630828644851,-5.465593040662576
1995,ac,45 a 49 anos,-5.4252012751981065,-4.968849171084522,-5.16266024327919
1995,ac,50 a 54 anos,-5.258743920303291,-4.695239879952155,-4.927214458448094
