UF,Ano,Grupo de idade,Total,Fonte,new_faixa,new_local
Brasil,2000, 05-09,17378990.0,IBGE,5,Brasil
Brasil,2000, 10-14,17599378.0,IBGE,10,Brasil
Brasil,2000, 15-19,17831344.0,IBGE,15,Brasil
Brasil,2000, 20-24,16402228.0,IBGE,20,Brasil
Brasil,2000, 25-29,14351864.0,IBGE,25,Brasil
Brasil,2000, 30-34,13422239.0,IBGE,30,Brasil
Brasil,2000, 35-39,12466693.0,IBGE,35,Brasil
Brasil,2000, 40-44,10836458.0,IBGE,40,Brasil
Brasil,2000, 45-49,9013717.0,IBGE,45,Brasil
Brasil,2000, 50-54,7227689.0,IBGE,50,Brasil
Brasil,2000, 55-59,5653867.0,IBGE,55,Brasil
Brasil,2000, 60-64,4702598.0,IBGE,60,Brasil
Brasil,2000, 65-69,3678357.0,IBGE,65,Brasil
Brasil,2000, 70-74,2861050.0,IBGE,70,Brasil
Brasil,2000, 75-79,1955661.0,IBGE,75,Brasil
Brasil,2000,80+,2032255.0,IBGE,80,Brasil
Norte,2000, 05-09,1671116.0,IBGE,5,Norte
Norte,2000, 10-14,1583134.0,IBGE,10,Norte
Norte,2000, 15-19,1516049.0,IBGE,15,Norte
Norte,2000, 20-24,1329612.0,IBGE,20,Norte
Norte,2000, 25-29,1095743.0,IBGE,25,Norte
Norte,2000, 30-34,928560.0,IBGE,30,Norte
Norte,2000, 35-39,791810.0,IBGE,35,Norte
Norte,2000, 40-44,658444.0,IBGE,40,Norte
Norte,2000, 45-49,521102.0,IBGE,45,Norte
Norte,2000, 50-54,395092.0,IBGE,50,Norte
Norte,2000, 55-59,309747.0,IBGE,55,Norte
Norte,2000, 60-64,245366.0,IBGE,60,Norte
Norte,2000, 65-69,184074.0,IBGE,65,Norte
Norte,2000, 70-74,133523.0,IBGE,70,Norte
Norte,2000, 75-79,92288.0,IBGE,75,Norte
Norte,2000,80+,111595.0,IBGE,80,Norte
Nordeste,2000, 05-09,5347876.0,IBGE,5,Nordeste
Nordeste,2000, 10-14,5483145.0,IBGE,10,Nordeste
Nordeste,2000, 15-19,5424682.0,IBGE,15,Nordeste
Nordeste,2000, 20-24,4660205.0,IBGE,20,Nordeste
Nordeste,2000, 25-29,3855697.0,IBGE,25,Nordeste
Nordeste,2000, 30-34,3486396.0,IBGE,30,Nordeste
Nordeste,2000, 35-39,3121952.0,IBGE,35,Nordeste
Nordeste,2000, 40-44,2577252.0,IBGE,40,Nordeste
Nordeste,2000, 45-49,2160316.0,IBGE,45,Nordeste
Nordeste,2000, 50-54,1824043.0,IBGE,50,Nordeste
Nordeste,2000, 55-59,1469527.0,IBGE,55,Nordeste
Nordeste,2000, 60-64,1252001.0,IBGE,60,Nordeste
Nordeste,2000, 65-69,947364.0,IBGE,65,Nordeste
Nordeste,2000, 70-74,772200.0,IBGE,70,Nordeste
Nordeste,2000, 75-79,576313.0,IBGE,75,Nordeste
Nordeste,2000,80+,675989.0,IBGE,80,Nordeste
Sudeste,2000, 05-09,6749000.0,IBGE,5,Sudeste
Sudeste,2000, 10-14,6893967.0,IBGE,10,Sudeste
Sudeste,2000, 15-19,7204538.0,IBGE,15,Sudeste
Sudeste,2000, 20-24,6940721.0,IBGE,20,Sudeste
Sudeste,2000, 25-29,6258030.0,IBGE,25,Sudeste
Sudeste,2000, 30-34,5961427.0,IBGE,30,Sudeste
Sudeste,2000, 35-39,5676728.0,IBGE,35,Sudeste
Sudeste,2000, 40-44,5108720.0,IBGE,40,Sudeste
Sudeste,2000, 45-49,4267389.0,IBGE,45,Sudeste
Sudeste,2000, 50-54,3372420.0,IBGE,50,Sudeste
Sudeste,2000, 55-59,2605003.0,IBGE,55,Sudeste
Sudeste,2000, 60-64,2176064.0,IBGE,60,Sudeste
Sudeste,2000, 65-69,1748439.0,IBGE,65,Sudeste
Sudeste,2000, 70-74,1362451.0,IBGE,70,Sudeste
Sudeste,2000, 75-79,898606.0,IBGE,75,Sudeste
Sudeste,2000,80+,866087.0,IBGE,80,Sudeste
Sul,2000, 05-09,2364416.0,IBGE,5,Sul
Sul,2000, 10-14,2405097.0,IBGE,10,Sul
Sul,2000, 15-19,2427536.0,IBGE,15,Sul
Sul,2000, 20-24,2259724.0,IBGE,20,Sul
Sul,2000, 25-29,2057481.0,IBGE,25,Sul
Sul,2000, 30-34,2053620.0,IBGE,30,Sul
Sul,2000, 35-39,1992978.0,IBGE,35,Sul
Sul,2000, 40-44,1754217.0,IBGE,40,Sul
Sul,2000, 45-49,1473091.0,IBGE,45,Sul
Sul,2000, 50-54,1180368.0,IBGE,50,Sul
Sul,2000, 55-59,916428.0,IBGE,55,Sul
Sul,2000, 60-64,745512.0,IBGE,60,Sul
Sul,2000, 65-69,593620.0,IBGE,65,Sul
Sul,2000, 70-74,448669.0,IBGE,70,Sul
Sul,2000, 75-79,294715.0,IBGE,75,Sul
Sul,2000,80+,280098.0,IBGE,80,Sul
Centro-Oeste,2000, 05-09,1246582.0,IBGE,5,Centro-Oeste
Centro-Oeste,2000, 10-14,1234035.0,IBGE,10,Centro-Oeste
Centro-Oeste,2000, 15-19,1258539.0,IBGE,15,Centro-Oeste
Centro-Oeste,2000, 20-24,1211966.0,IBGE,20,Centro-Oeste
Centro-Oeste,2000, 25-29,1084913.0,IBGE,25,Centro-Oeste
Centro-Oeste,2000, 30-34,992236.0,IBGE,30,Centro-Oeste
Centro-Oeste,2000, 35-39,883225.0,IBGE,35,Centro-Oeste
Centro-Oeste,2000, 40-44,737825.0,IBGE,40,Centro-Oeste
Centro-Oeste,2000, 45-49,591819.0,IBGE,45,Centro-Oeste
Centro-Oeste,2000, 50-54,455766.0,IBGE,50,Centro-Oeste
Centro-Oeste,2000, 55-59,353162.0,IBGE,55,Centro-Oeste
Centro-Oeste,2000, 60-64,283655.0,IBGE,60,Centro-Oeste
Centro-Oeste,2000, 65-69,204860.0,IBGE,65,Centro-Oeste
Centro-Oeste,2000, 70-74,144207.0,IBGE,70,Centro-Oeste
Centro-Oeste,2000, 75-79,93739.0,IBGE,75,Centro-Oeste
Centro-Oeste,2000,80+,98486.0,IBGE,80,Centro-Oeste
Rondônia,2000, 05-09,159679.0,IBGE,5,Rondônia
Rondônia,2000, 10-14,158052.0,IBGE,10,Rondônia
Rondônia,2000, 15-19,151129.0,IBGE,15,Rondônia
Rondônia,2000, 20-24,135179.0,IBGE,20,Rondônia
Rondônia,2000, 25-29,118777.0,IBGE,25,Rondônia
Rondônia,2000, 30-34,107554.0,IBGE,30,Rondônia
Rondônia,2000, 35-39,94744.0,IBGE,35,Rondônia
Rondônia,2000, 40-44,77324.0,IBGE,40,Rondônia
Rondônia,2000, 45-49,59721.0,IBGE,45,Rondônia
Rondônia,2000, 50-54,44611.0,IBGE,50,Rondônia
Rondônia,2000, 55-59,33867.0,IBGE,55,Rondônia
Rondônia,2000, 60-64,26891.0,IBGE,60,Rondônia
Rondônia,2000, 65-69,19609.0,IBGE,65,Rondônia
Rondônia,2000, 70-74,13458.0,IBGE,70,Rondônia
Rondônia,2000, 75-79,8142.0,IBGE,75,Rondônia
Rondônia,2000,80+,7420.0,IBGE,80,Rondônia
Acre,2000, 05-09,76385.0,IBGE,5,Acre
Acre,2000, 10-14,68230.0,IBGE,10,Acre
Acre,2000, 15-19,66035.0,IBGE,15,Acre
Acre,2000, 20-24,57784.0,IBGE,20,Acre
Acre,2000, 25-29,46431.0,IBGE,25,Acre
Acre,2000, 30-34,38434.0,IBGE,30,Acre
Acre,2000, 35-39,32423.0,IBGE,35,Acre
Acre,2000, 40-44,27056.0,IBGE,40,Acre
Acre,2000, 45-49,21610.0,IBGE,45,Acre
Acre,2000, 50-54,16724.0,IBGE,50,Acre
Acre,2000, 55-59,13068.0,IBGE,55,Acre
Acre,2000, 60-64,10022.0,IBGE,60,Acre
Acre,2000, 65-69,7633.0,IBGE,65,Acre
Acre,2000, 70-74,6171.0,IBGE,70,Acre
Acre,2000, 75-79,4342.0,IBGE,75,Acre
Acre,2000,80+,4921.0,IBGE,80,Acre
Amazonas,2000, 05-09,368916.0,IBGE,5,Amazonas
Amazonas,2000, 10-14,338215.0,IBGE,10,Amazonas
Amazonas,2000, 15-19,327071.0,IBGE,15,Amazonas
Amazonas,2000, 20-24,291276.0,IBGE,20,Amazonas
Amazonas,2000, 25-29,236410.0,IBGE,25,Amazonas
Amazonas,2000, 30-34,193822.0,IBGE,30,Amazonas
Amazonas,2000, 35-39,164166.0,IBGE,35,Amazonas
Amazonas,2000, 40-44,135247.0,IBGE,40,Amazonas
Amazonas,2000, 45-49,104590.0,IBGE,45,Amazonas
Amazonas,2000, 50-54,76928.0,IBGE,50,Amazonas
Amazonas,2000, 55-59,59384.0,IBGE,55,Amazonas
Amazonas,2000, 60-64,46916.0,IBGE,60,Amazonas
Amazonas,2000, 65-69,36067.0,IBGE,65,Amazonas
Amazonas,2000, 70-74,26899.0,IBGE,70,Amazonas
Amazonas,2000, 75-79,19590.0,IBGE,75,Amazonas
Amazonas,2000,80+,23478.0,IBGE,80,Amazonas
Roraima,2000, 05-09,44914.0,IBGE,5,Roraima
Roraima,2000, 10-14,39328.0,IBGE,10,Roraima
Roraima,2000, 15-19,37445.0,IBGE,15,Roraima
Roraima,2000, 20-24,33447.0,IBGE,20,Roraima
Roraima,2000, 25-29,27623.0,IBGE,25,Roraima
Roraima,2000, 30-34,24123.0,IBGE,30,Roraima
Roraima,2000, 35-39,21001.0,IBGE,35,Roraima
Roraima,2000, 40-44,16896.0,IBGE,40,Roraima
Roraima,2000, 45-49,12831.0,IBGE,45,Roraima
Roraima,2000, 50-54,9069.0,IBGE,50,Roraima
Roraima,2000, 55-59,6381.0,IBGE,55,Roraima
Roraima,2000, 60-64,4870.0,IBGE,60,Roraima
Roraima,2000, 65-69,3611.0,IBGE,65,Roraima
Roraima,2000, 70-74,2721.0,IBGE,70,Roraima
