Ano;Grupo Etário;nMx;nqx;nAx;lx;ndx;nLx;Tx;ex;Local
2000;0;0.028834;0.028127;0.128739;100000.0;2812.697459;97549.406182;7110218.510425;71.102185;Brasil
2000;1-4;0.00115;0.004588;1.524332;97187.302541;445.88215;387645.354108;7012669.104244;72.156227;Brasil
2000;5-9;0.000376;0.001881;2.286499;96741.42039;181.924588;483213.449343;6625023.750135;68.481771;Brasil
2000;10-14;0.000436;0.002178;2.751711;96559.495802;210.311936;482324.637048;6141810.300793;63.606487;Brasil
2000;15-19;0.001266;0.006311;2.8003;96349.183866;608.103078;480408.275043;5659485.663744;58.739321;Brasil
2000;20-24;0.001867;0.009291;2.599066;95741.080788;889.524387;476569.714593;5179077.388701;54.09462;Brasil
2000;25-29;0.002075;0.010322;2.55367;94851.5564;979.045502;471862.713947;4702507.674108;49.577549;Brasil
2000;30-34;0.002466;0.012255;2.578691;93872.510898;1150.396901;466577.087933;4230644.960161;45.067986;Brasil
2000;35-39;0.003103;0.015399;2.603728;92722.113997;1427.813771;460189.140291;3764067.872228;40.595147;Brasil
2000;40-44;0.004184;0.020716;2.622102;91294.300226;1891.238265;451974.330058;3303878.731937;36.189321;Brasil
2000;45-49;0.005814;0.028673;2.628825;89403.061962;2563.424134;440936.981387;2851904.401879;31.899404;Brasil
2000;50-54;0.008231;0.040365;2.630031;86839.637827;3505.323047;425890.680979;2410967.420491;27.763444;Brasil
2000;55-59;0.011783;0.057314;2.630011;83334.31478;4776.22536;405351.970836;1985076.739512;23.82064;Brasil
2000;60-64;0.017283;0.083005;2.622345;78558.08942;6520.721402;377286.424317;1579724.768676;20.109002;Brasil
2000;65-69;0.025197;0.118777;2.590844;72037.368019;8556.35961;339573.234798;1202438.34436;16.691869;Brasil
2000;70-74;0.03439;0.158769;2.586072;63481.008408;10078.814578;293075.509437;862865.109562;13.592492;Brasil
2000;75-79;0.05372;0.237701;2.580194;53402.19383;12693.732678;236294.598624;569789.600125;10.669779;Brasil
2000;80-84;0.086478;0.35576;2.509201;40708.461152;14482.441453;167469.456033;333495.0015;8.192277;Brasil
2000;85-89;0.133317;0.494482;2.389328;26226.019699;12968.303117;97274.114816;166025.545467;6.330566;Brasil
2000;90+;0.192836;1.0;5.185767;13257.716581;13257.716581;68751.430651;68751.430651;5.185767;Brasil
2001;0;0.026818;0.026202;0.123086;100000.0;2620.17418;97702.333744;7150279.664045;71.502797;Brasil
2001;1-4;0.001059;0.004223;1.528835;97379.82582;411.250582;388503.035213;7052577.330302;72.423392;Brasil
2001;5-9;0.000368;0.001839;2.300245;96968.575238;178.34016;484361.401378;6664074.295089;68.724061;Brasil
2001;10-14;0.000427;0.002134;2.757542;96790.235079;206.549762;483487.996262;6179712.893711;63.84645;Brasil
2001;15-19;0.001273;0.006347;2.804359;96583.685317;613.016958;481572.461488;5696224.897449;58.977092;Brasil
2001;20-24;0.001865;0.009283;2.595225;95970.668359;890.848306;477711.052012;5214652.435961;54.335898;Brasil
2001;25-29;0.002048;0.010191;2.548721;95079.820053;968.94698;473023.940414;4736941.383949;49.820681;Brasil
2001;30-34;0.002405;0.011955;2.575955;94110.873073;1125.080114;467827.120281;4263917.443535;45.307384;Brasil
2001;35-39;0.003021;0.014998;2.602957;92985.792959;1394.601974;461586.043206;3796090.323254;40.824412;Brasil
2001;40-44;0.004063;0.020121;2.62356;91591.190984;1842.869423;453576.486084;3334504.280049;36.406386;Brasil
2001;45-49;0.005694;0.028091;2.630647;89748.321561;2521.122044;442768.179576;2880927.793965;32.100074;Brasil
2001;50-54;0.008052;0.039507;2.628988;87227.199517;3446.113781;427965.219296;2438159.614389;27.951827;Brasil
2001;55-59;0.011462;0.055797;2.63062;83781.085736;4674.724621;407829.229141;2010194.395094;23.993415;Brasil
2001;60-64;0.016904;0.081258;2.624382;79106.361115;6428.003369;380261.325838;1602365.165953;20.255832;Brasil
2001;65-69;0.024659;0.116387;2.592665;72678.357746;8458.833624;343028.543729;1222103.840115;16.815237;Brasil
2001;70-74;0.033749;0.156054;2.590376;64219.524122;10021.68749;296949.125447;879075.296386;13.688599;Brasil
2001;75-79;0.053327;0.236146;2.578767;54197.836632;12798.587914;240000.823577;582126.17094;10.740764;Brasil
2001;80-84;0.083957;0.347332;2.515447;41399.248718;14379.283178;171270.150272;342125.347362;8.264047;Brasil
2001;85-89;0.132975;0.493936;2.397443;27019.96554;13346.1247;100365.779368;170855.197091;6.323294;Brasil
2001;90+;0.193984;1.0;5.155056;13673.84084;13673.84084;70489.417722;70489.417722;5.155056;Brasil
