Ano;Grupo Etário;nMx;nqx;nAx;lx;ndx;nLx;Tx;ex;Local
2000;0;0.032572;0.031678;0.133575;100000.0;3167.836304;97255.308361;6731573.274974;67.315733;Brasil
2000;1-4;0.001249;0.004983;1.55755;96832.163696;482.492585;386150.190896;6634317.966613;68.513578;Brasil
2000;5-9;0.000443;0.002211;2.31305;96349.671112;213.068062;481175.852431;6248167.775717;64.848875;Brasil
2000;10-14;0.000535;0.002672;2.807357;96136.60305;256.849868;480119.835306;5766991.923286;59.987473;Brasil
2000;15-19;0.001947;0.009692;2.856376;95879.753181;929.282967;477406.73261;5286872.08798;55.140652;Brasil
2000;20-24;0.003018;0.01498;2.60057;94950.470215;1422.404906;471339.389459;4809465.35537;50.65236;Brasil
2000;25-29;0.003251;0.016126;2.535952;93528.065309;1508.207527;463924.031337;4338125.965911;46.383147;Brasil
2000;30-34;0.003705;0.018358;2.558702;92019.857782;1689.259671;455975.302341;3874201.934574;42.101803;Brasil
2000;35-39;0.004472;0.022119;2.582464;90330.598111;1998.063773;446822.600221;3418226.632233;37.841293;Brasil
2000;40-44;0.005755;0.028386;2.602459;88332.534338;2507.383188;435651.116613;2971404.032013;33.63884;Brasil
2000;45-49;0.007746;0.038025;2.612683;85825.15115;3263.50104;421334.745531;2535752.9154;29.545569;Brasil
2000;50-54;0.010681;0.05208;2.61595;82561.650111;4299.814446;402557.27962;2114418.169869;25.610173;Brasil
2000;55-59;0.015037;0.072582;2.615897;78261.835665;5680.410878;377766.494799;1711860.890249;21.873508;Brasil
2000;60-64;0.021653;0.102939;2.609407;72581.424787;7471.43394;345045.963799;1334094.39545;18.380659;Brasil
2000;65-69;0.031569;0.146645;2.580309;65109.990847;9548.064465;302446.585028;989048.431652;15.190425;Brasil
2000;70-74;0.043656;0.197268;2.560193;55561.926382;10960.612728;251067.851912;686601.846623;12.357416;Brasil
2000;75-79;0.065214;0.280938;2.536596;44601.313654;12530.203962;192139.60837;435533.994711;9.765049;Brasil
2000;80-84;0.099897;0.398354;2.458668;32071.109692;12775.661725;127888.350405;243394.38634;7.58921;Brasil
2000;85-89;0.14522;0.523898;2.342248;19295.447967;10108.843881;69610.440243;115506.035936;5.986181;Brasil
2000;90+;0.200163;1.0;4.995926;9186.604087;9186.604087;45895.595693;45895.595693;4.995926;Brasil
2001;0;0.030075;0.029305;0.126752;100000.0;2930.512788;97440.93628;6771169.67405;67.711697;Brasil
2001;1-4;0.001144;0.004563;1.564705;97069.487212;442.915375;387199.319089;6673728.737771;68.752076;Brasil
2001;5-9;0.000429;0.002145;2.326393;96626.571837;207.261546;482578.723237;6286529.418682;65.060048;Brasil
2001;10-14;0.00052;0.002599;2.817215;96419.310291;250.605466;481549.53349;5803950.695445;60.1949;Brasil
