Ano;Grupo Etário;nMx;nqx;nAx;lx;ndx;nLx;Tx;ex;Local
2000;0;0.024971;0.024436;0.123308;100000.0;2443.606753;97857.710004;7507655.352396;75.076554;Brasil
2000;1-4;0.001049;0.004185;1.484223;97556.393247;408.240564;389198.530691;7409797.642393;75.953993;Brasil
2000;5-9;0.00031;0.001548;2.250412;97148.152683;150.37971;485327.281146;7020599.111701;72.266934;Brasil
2000;10-14;0.000337;0.001684;2.633627;96997.772973;163.35361;484602.309253;6535271.830556;67.375483;Brasil
2000;15-19;0.00059;0.002948;2.662049;96834.419362;285.482396;483504.653053;6050669.521302;62.484699;Brasil
2000;20-24;0.000738;0.003684;2.593931;96548.936967;355.684265;481888.883943;5567164.868249;57.661586;Brasil
2000;25-29;0.000934;0.004658;2.612628;96193.252702;448.065653;479896.564096;5085275.984306;52.865205;Brasil
2000;30-34;0.001279;0.006377;2.634695;95745.187049;610.566862;477281.758292;4605379.42021;48.100375;Brasil
2000;35-39;0.001805;0.008988;2.65148;95134.620187;855.081803;473664.92406;4128097.661918;43.392171;Brasil
2000;40-44;0.002695;0.013391;2.659413;94279.538384;1262.501249;468442.697466;3654432.737858;38.761674;Brasil
2000;45-49;0.003986;0.019746;2.655377;93017.037135;1836.738397;460778.727106;3185990.040392;34.251683;Brasil
2000;50-54;0.005913;0.029159;2.6514;91180.298738;2658.705393;449657.256936;2725211.313286;29.88816;Brasil
2000;55-59;0.008747;0.042853;2.651218;88521.593344;3793.416692;433698.059199;2275554.05635;25.706203;Brasil
2000;60-64;0.013335;0.064644;2.641677;84728.176652;5477.176846;410723.929744;1841855.997151;21.738412;Brasil
2000;65-69;0.019729;0.094193;2.604893;79250.999806;7464.877922;378375.820451;1431132.067407;18.058221;Brasil
2000;70-74;0.026875;0.126282;2.615399;71786.121885;9065.324557;337313.428889;1052756.246955;14.665178;Brasil
2000;75-79;0.044914;0.202934;2.626327;62720.797328;12728.164105;283391.487375;715442.818066;11.406788;Brasil
2000;80-84;0.077224;0.324757;2.553291;49992.633223;16235.481882;210239.672701;432051.330692;8.6423;Brasil
2000;85-89;0.125559;0.474368;2.424014;33757.151341;16013.303061;127535.71595;221811.65799;6.570805;Brasil
2000;90+;0.188212;1.0;5.313162;17743.848281;17743.848281;94275.94204;94275.94204;5.313162;Brasil
2001;0;0.023438;0.022963;0.11889;100000.0;2296.343111;97976.669795;7547063.290196;75.470633;Brasil
2001;1-4;0.000971;0.003875;1.486622;97703.656889;378.58315;389863.105154;7449086.620401;76.241636;Brasil
2001;5-9;0.000306;0.001531;2.265267;97325.073739;149.021607;486217.834448;7059223.515247;72.532424;Brasil
2001;10-14;0.000334;0.001668;2.629066;97176.052133;162.120806;485495.882864;6573005.680799;67.64018;Brasil
2001;15-19;0.000571;0.002853;2.656349;97013.931327;276.785513;484420.968126;6087509.797935;62.748821;Brasil
2001;20-24;0.000711;0.003551;2.594369;96737.145814;343.465935;482859.476843;5603088.829809;57.920758;Brasil
2001;25-29;0.000905;0.004516;2.611289;96393.679879;435.32491;480928.533969;5120229.352965;53.117895;Brasil
2001;30-34;0.001225;0.006105;2.634163;95958.354969;585.847889;478405.753962;4639300.818997;48.347023;Brasil
2001;35-39;0.001745;0.008688;2.652595;95372.507079;828.602935;474917.468778;4160895.065035;43.627825;Brasil
2001;40-44;0.002592;0.012883;2.661953;94543.904145;1217.998743;469871.781824;3685977.596257;38.986941;Brasil
2001;45-49;0.003896;0.019303;2.658392;93325.905401;1801.45265;462411.231621;3216105.814433;34.461019;Brasil
2001;50-54;0.005765;0.028438;2.649806;91524.452751;2602.77229;451505.242894;2753694.582812;30.086982;Brasil
2001;55-59;0.008471;0.041527;2.651701;88921.680461;3692.669826;435936.910379;2302189.339918;25.890079;Brasil
2001;60-64;0.012996;0.063048;2.644173;85229.010635;5373.53607;413485.930642;1866252.429538;21.896915;Brasil
2001;65-69;0.019271;0.092106;2.606542;79855.474566;7355.166015;381673.089312;1452766.498896;18.192447;Brasil
2001;70-74;0.026278;0.123654;2.619492;72500.308551;8964.961682;341160.38194;1071093.409584;14.773639;Brasil
2001;75-79;0.044475;0.201135;2.62541;63535.346869;12779.165864;287331.449291;729933.027645;11.488613;Brasil
2001;80-84;0.074847;0.316432;2.559393;50756.181005;16060.864102;214582.655137;442601.578353;8.720151;Brasil
2001;85-89;0.125022;0.473215;2.432533;34695.316903;16418.33236;131323.052099;228018.923216;6.572037;Brasil
2001;90+;0.189015;1.0;5.290581;18276.984543;18276.984543;96695.871117;96695.871117;5.290581;Brasil
2002;0;0.022027;0.021606;0.114818;100000.0;2160.611217;98087.466569;7581679.459613;75.816795;Brasil
2002;1-4;0.000926;0.003694;1.488834;97839.388783;361.397493;390450.025922;7483591.993044;76.48854;Brasil
2002;5-9;0.000304;0.001518;2.268084;97477.991291;147.924509;486985.839133;7093141.967122;72.7666;Brasil
2002;10-14;0.000322;0.001611;2.628315;97330.066782;156.774596;486278.513913;6606156.127989;67.873745;Brasil
2002;15-19;0.000564;0.002817;2.656243;97173.292186;273.749695;485224.858044;6119877.614076;62.979009;Brasil
2002;20-24;0.000686;0.003426;2.591924;96899.542491;331.986661;483698.263355;5634652.756032;58.149426;Brasil
2002;25-29;0.000883;0.004406;2.611601;96567.55583;425.503994;481821.505975;5150954.492677;53.340425;Brasil
2002;30-34;0.001183;0.005899;2.632039;96142.051837;567.146737;479367.277813;4669132.986702;48.56494;Brasil
2002;35-39;0.001684;0.008388;2.652118;95574.905099;801.688735;475992.255229;4189765.708889;43.837508;Brasil
