Grupo Etário,Local,Sexo,RMSE,MAPE,Peso ARIMA,Peso ETS
0,Brasil,Ambos,0.0351281361802786,0.5312832017410296,1.6563839539913172,-0.6563839539913172
1-4,Brasil,Ambos,0.1426459455629235,1.333131053166417,1.3751834065974748,-0.3751834065974748
5-9,Brasil,Ambos,0.1446885358257079,1.462494126501269,3.477065392379925,-2.477065392379925
10-14,Brasil,Ambos,0.0511232236087871,0.463770904180536,1.8005478145733576,-0.8005478145733576
15-19,Brasil,Ambos,0.0281960971069331,0.2949798375684826,0.2002315252799326,0.7997684747200673
20-24,Brasil,Ambos,0.047448503947793,0.6765037490725283,0.4423792871356137,0.5576207128643862
25-29,Brasil,Ambos,0.0839998114302496,0.9562306068858896,3.3194918608036765,-2.3194918608036765
30-34,Brasil,Ambos,0.1773274900741134,2.2805061874784784,3.1054435541670213,-2.1054435541670213
35-39,Brasil,Ambos,0.2123181592805713,2.637449192176118,3.521893432772964,-2.521893432772964
40-44,Brasil,Ambos,0.2214454659010659,2.8294905077489494,5.218009478723854,-4.218009478723854
45-49,Brasil,Ambos,0.2227797511866827,2.76473104594384,4.220215209409142,-3.220215209409142
50-54,Brasil,Ambos,0.22510199796324,3.270449180914799,-4.486298114167434,5.486298114167434
55-59,Brasil,Ambos,0.2104592830595697,3.1007542825895094,5.076304429645987,-4.076304429645987
60-64,Brasil,Ambos,0.1769251792980031,2.787244757754487,-0.1505460202987026,1.1505460202987026
65-69,Brasil,Ambos,0.16807100194478,3.031992687210277,-2.143075134041652,3.143075134041652
70-74,Brasil,Ambos,0.1589020015189354,3.41341044830418,-3.1903057459821733,4.190305745982173
75-79,Brasil,Ambos,0.1320366276502799,3.36192566577381,-2.9708197019405507,3.970819701940551
80-84,Brasil,Ambos,0.1166658005771737,3.671314951259765,-3.5547971748014,4.554797174801399
85-89,Brasil,Ambos,0.1105518762451208,4.487491624425489,3.1599882076498877,-2.1599882076498877
90+,Brasil,Ambos,0.0922129532366183,4.721388788138754,0.1106693597728837,0.8893306402271163
