Localidade;Código IBGE;Código DataSUS;Ano;Taxa
Brasil;0;0;1990;47.1
Brasil;0;0;1991;44.39
Brasil;0;0;1992;41.85
Brasil;0;0;1993;39.45
Brasil;0;0;1994;37.2
Brasil;0;0;1995;35.07
Brasil;0;0;1996;33.06
Brasil;0;0;1997;31.17
Brasil;0;0;1998;29.38
Brasil;0;0;1999;27.7
Brasil;0;0;2000;26.1
Brasil;0;0;2001;24.9
Brasil;0;0;2002;24.9
Brasil;0;0;2003;23.4
Brasil;0;0;2004;21.5
Brasil;0;0;2005;20.4
Brasil;0;0;2006;19.6
Brasil;0;0;2007;18.6
Brasil;0;0;2008;17.7
Brasil;0;0;2009;16.8
Brasil;0;0;2010;16.0
Brasil;0;0;2011;15.3
Brasil;0;0;2012;13.5
Brasil;0;0;2013;13.4
Brasil;0;0;2014;12.9
Brasil;0;0;2015;12.4
Brasil;0;0;2016;12.7
Brasil;0;0;2017;12.4
Brasil;0;0;2018;12.2
Brasil;0;0;2019;12.4
Brasil;0;0;2020;11.5
Brasil;0;0;2021;11.9
Brasil;0;0;2022;12.6
Brasil;0;0;2023;12.62
Norte;1;1;1990;45.86
Norte;1;1;1991;44.35
Norte;1;1;1992;42.89
Norte;1;1;1993;41.47
Norte;1;1;1994;40.11
Norte;1;1;1995;38.79
Norte;1;1;1996;37.51
Norte;1;1;1997;36.27
Norte;1;1;1998;35.07
Norte;1;1;1999;33.92
Norte;1;1;2000;32.8
Norte;1;1;2001;32.1
Norte;1;1;2002;32.1
Norte;1;1;2003;29.7
Norte;1;1;2004;27.8
Norte;1;1;2005;27.1
Norte;1;1;2006;26.8
Norte;1;1;2007;25.3
Norte;1;1;2008;23.1
Norte;1;1;2009;22.3
Norte;1;1;2010;21.0
Norte;1;1;2011;19.9
Norte;1;1;2012;16.6
Norte;1;1;2013;16.5
Norte;1;1;2014;15.7
Norte;1;1;2015;15.2
Norte;1;1;2016;15.5
Norte;1;1;2017;15.4
Norte;1;1;2018;15.3
Norte;1;1;2019;15.1
Norte;1;1;2020;14.5
Norte;1;1;2021;15.0
Norte;1;1;2022;15.1
Norte;1;1;2023;15.9
Nordeste;2;2;1990;75.76
Nordeste;2;2;1991;70.31
Nordeste;2;2;1992;65.26
Nordeste;2;2;1993;60.57
Nordeste;2;2;1994;56.21
