Localidade,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Brasil,26.1,24.9,24.9,23.4,21.5,20.4,19.6,18.6,17.7,16.8,16.0,15.3,13.5,13.4,12.9,12.4,12.7,12.4,12.2,12.4,11.5,11.9,12.6,12.617687078048528,
280030 ARACAJU,29.91933971112362,30.11987508814345,28.650844558477658,22.45508982035928,22.915974759216205,22.380901630608545,19.95541874535612,16.45319171092367,17.246753246753247,16.85565430585351,17.8285470267962,13.960172449189079,15.360000000000001,14.934926392148496,17.838514500312957,15.835230801076381,14.88665839630089,17.203352448169387,18.16627484505236,16.94325171173262,16.715116279069765,15.409877478842995,16.80672268907563,17.37477942174562,20.388060547650095
150140 BELEM,27.72212305562639,28.165708250205373,21.903469664663692,22.994885620267215,20.937269976281996,20.036507195313497,18.985501225541107,17.543859649122805,16.715176715176714,16.20480110330561,17.59146203590648,16.87821300213821,17.12601188526508,18.04971668799123,15.373896888063168,14.964705882352941,14.7012987012987,13.550414756041011,14.575149886293158,15.494700597191587,15.737357067075328,15.5209324452902,14.812480302552789,15.515647695761256,18.36427992615299
310620 BELO HORIZONTE,17.009268368456482,14.432703003337041,13.588540228827338,15.476887068461089,13.458091563629734,14.549646384397297,12.848515996402416,11.691501555591945,11.737844095703627,11.049544732834322,11.365460557999166,10.436161776367962,10.677375171211555,9.623657627226665,9.958401613513173,10.06857855361596,9.309228278467351,9.9854033970276,9.861469828598262,10.485844110450891,9.28427380997679,9.629215278887646,9.554274169788291,10.372465818010372,12.573353002204643
140010 BOA VISTA,16.813450760608486,17.517765658568834,10.046113306982871,11.954096270321964,15.040106951871657,14.31901431901432,13.594906212355877,13.614477834965964,13.694163677861102,13.369436452868506,11.922503725782414,10.235087158164081,14.155394778232148,11.968503937007874,13.767579570688378,11.608870367614228,14.224329530300786,11.926735766008802,13.597941933112825,14.212175470008953,13.544844417327639,13.320177602368032,13.904834800357188,18.00411522633745,14.002543120244468
530010 BRASILIA,14.39853305828176,15.184150476637308,13.646586170003712,13.298045425949628,13.949509793170003,13.633294858113553,12.801204819277109,11.088938273844619,11.885088176035135,11.881999453701175,12.632482881742785,11.480501552973656,11.632986182955145,12.73298899618235,11.404038371234991,10.580633970773167,10.313797877249655,11.084185963022797,10.250028283742505,8.53330818914714,9.755849698940576,10.569212567372158,10.075706969494544,10.857641135270455,11.79954112477158
500270 CAMPO GRANDE,16.28119293974437,15.73455079080385,13.768526767635862,13.946764180627603,14.052473397774348,13.559597271841508,13.984889889085355,14.089095203192443,13.256394260761073,12.35864297253635,13.2041565747324,10.195477194327328,8.641701750498559,9.274811947710509,7.956065619939449,8.638562543192812,10.708041958041958,8.763320246775098,9.875149890667984,9.25991879763516,10.287907869481765,10.275315711036159,10.69258809234508,11.579124014096324,11.845816676474765
510340 CUIABA,21.645455456458564,21.82299129284691,16.530771808332403,17.047353760445684,18.33170625881332,17.289865638995938,13.809732573432706,15.595826468973092,16.876757995624544,15.609964717203036,13.162118780096307,12.153475291281639,13.995300847890489,15.3071301599842,14.020001869333583,13.658901674618766,11.439562664506985,11.524056467876692,11.412678622806176,10.759056361662227,12.922262922262922,11.367224502683928,13.633980073413738,11.689008042895443,14.523333241991615
410690 CURITIBA,15.01842857634942,13.649107274605282,11.793257745250465,12.391374316060508,11.226149391090484,11.936285493135617,10.470992520719628,10.500840887649206,9.870109360811718,8.9673475953032,9.11422371276386,8.792427422868233,9.490011563459468,8.824001283491096,7.737255692121701,8.977393291438831,8.657449282853083,8.3095185755111,8.276049204052098,6.497452437713271,7.096512570965126,7.267833109017497,8.588823657316807,7.89810334278881,10.054839725961564
420540 FLORIANOPOLIS,9.682625067240451,11.843663639952625,9.753298909925416,12.074864157778226,8.061182306738322,8.869179600886918,9.480545131345053,8.032128514056224,9.926952612848847,8.979747802827665,9.060022650056625,8.440366972477063,9.099181073703367,5.1509769094138536,11.00980560811973,6.845965770171149,6.094627105052125,7.710464201416208,7.694723618090452,5.3798500163025755,7.7783179387457455,6.099627245001694,7.727721144360408,6.537043245055313,8.759336325803696
230440 FORTALEZA,23.27246688148944,16.88097119459809,24.75763975471362,23.055927983144993,20.961321079274583,20.614316925845007,17.418745651525693,15.636180531630139,14.79457704005361,15.646168149820692,11.916746020949532,12.796246434379249,11.177049791095618,11.78643202433328,11.388925251996335,11.591415266248228,11.401564711222663,13.535595620676508,11.441966902017693,11.671482106588094,12.01507289350136,10.962701612903226,11.726647796198948,11.780728634661218,17.15730423818224
520870 GOIANIA,15.524889107934944,14.823434179904888,13.87433248490293,15.4067889269917,13.615047148404015,13.658834921767493,13.597533235606328,13.319404544267433,13.931013211329873,13.63911901394221,12.591186169681222,12.314081514390573,12.907768129547055,12.621447380368656,10.70915502154891,10.670865039797079,12.544378698224852,11.252217760761976,10.488043630261501,12.156576707999028,9.264051340440949,12.461225799550755,10.168584426010169,13.28,12.672153858691223
250750 JOAO PESSOA,19.886646117132347,16.433566433566433,15.70915619389587,15.972222222222221,17.451403887688986,17.548365005992125,15.501113585746102,14.92671522345113,13.26643422059699,14.407963674467343,12.431539598365644,12.37007129971652,14.068306494425766,12.295436834357952,13.328805501315902,10.651272461175704,13.070220399794977,12.92287431064285,10.561109319574332,12.654040195186502,11.219212902094837,12.31349991012044,15.102078866411858,12.584880036215482,13.869109174176392
160030 MACAPA,24.040066777963272,24.778562619127705,25.760578155962232,23.920190454596987,24.390243902439025,20.066492519591545,22.956841138659318,24.143036100671903,24.876712328767123,25.417984636240398,20.318211137389806,20.416843896214377,22.35071722450795,22.11740041928721,19.28768241657312,17.699115044247787,17.725258493353028,21.361527672888123,21.521575379317767,20.598829356145878,19.65427421264504,20.37489812550937,18.837121687806103,21.58079309414621,21.38326631171418
270430 MACEIO,32.30904302019316,28.832095444178023,23.314657509488523,19.40414353095707,19.168933959930744,20.710955005147458,18.023776044995525,19.291161956034095,19.35764969500809,16.484926234765872,16.11736069995395,15.06530453898875,15.39702817185504,14.302662799894541,14.375923686685477,14.590564339889447,14.531792727014956,12.17917842152343,13.440681349391177,14.220939818631493,11.889132020423048,11.467215524845633,12.742765026483458,12.062910367995114,17.737221344641455
130260 MANAUS,30.135010815783584,25.683798024730585,22.771939938680852,21.247630995915973,16.98812454351178,17.72657934879806,16.92637672170969,15.806477451739513,15.813370909660247,14.934802385525119,13.74841168996188,13.448702101359704,13.602467876314703,15.321805955811719,13.852227335373403,13.178404421142128,12.776809837638563,14.520234817393112,13.838499015237899,13.811645009093544,12.797124000643882,13.147593207526795,13.599562048001845,15.173690970459093,17.759895853810903
240810 NATAL,20.024156124849025,19.394992039368937,23.70916754478398,16.31205673758865,17.952920143027413,16.401807843708998,18.00729811201015,19.879364539971117,16.551502490760086,12.461830486093916,12.469691721510218,10.164767603901959,12.611579723200393,12.753378378378379,12.139605462822459,14.461965846882915,13.197881392723799,13.31245105716523,10.959571358986848,12.875939849624059,9.51501154734411,13.206808843670514,10.794382728987634,11.542160949022122,14.971897202044866
172100 PALMAS,21.745039412883937,16.37666325486182,16.489091831557584,14.255543822597676,15.06102311088029,14.890282131661442,12.920526572403706,12.118151981822772,14.659937515020427,13.802622498274673,10.998877665544333,13.909693986732291,9.335879482283048,10.147028370262994,9.492444788841535,11.9276644863409,10.916580844490216,9.877977919814061,10.835045768727815,11.52516327314637,12.13101496158512,13.560008095527222,10.709785804283914,11.558389796731767,13.411995752868012
